plotid,date,species,tagnumber,status,cankerid,estdbh,dbh2012,symplfct,canker,lidelfct,x,y
LINS01,26-Apr-10,QUAG,1381,Alive,1381-1,14.8,NA,NA,1,NA,535059,4243938
LINS01,9-May-12,QUAG,1381,Alive,1381-2,14.8,15.4,NA,1,NA,535059,4243938
LINS01,20-Apr-11,QUAG,1381,Alive,1381-2,14.8,NA,NA,1,NA,535059,4243938
LINS01,20-Apr-11,QUAG,1381,Alive,1381-3,14.8,NA,NA,1,NA,535059,4243938
LINS01,20-Apr-11,QUAG,1381,Alive,1381-4,14.8,NA,NA,1,NA,535059,4243938
LINS01,9-May-12,QUAG,1381,Alive,1381-4,14.8,15.4,NA,1,NA,535059,4243938
LINS01,9-May-12,QUAG,1381,Alive,1381-5,14.8,15.4,NA,1,NA,535059,4243938
LINS01,26-Apr-10,QUAG,1383,Alive,1383-1,10,NA,NA,1,NA,535059,4243938
LINS01,26-Apr-10,QUAG,1383,Alive,1383-2,10,NA,NA,1,NA,535059,4243938
LINS01,26-Apr-10,QUAG,1390,Alive,1390-1,5.6,NA,NA,1,NA,535059,4243938
LINS01,20-Apr-11,QUAG,1390,Alive,1390-1,5.6,NA,NA,1,NA,535059,4243938
PARDI01,25-May-11,QUKE,1392,Alive,1392-1,22,NA,NA,1,NA,540106,4239786
PARDI01,11-May-10,QUKE,1392,Alive,1392-1,22,NA,NA,1,NA,540106,4239786
PARDI01,25-May-11,QUKE,1392,Alive,1392-2,22,NA,NA,1,NA,540106,4239786
PARDI01,11-May-10,QUKE,1392,Alive,1392-2,22,NA,NA,1,NA,540106,4239786
PARDI01,25-May-11,QUKE,1396,Alive,1396-1,27,NA,NA,1,NA,540106,4239786
PARDI01,11-May-10,QUKE,1396,Alive,1396-1,27,NA,NA,1,NA,540106,4239786
PARDI01,11-May-10,QUKE,1396,Alive,1396-2,27,NA,NA,1,NA,540106,4239786
HALOW02,13-May-10,QUKE,1399,Alive,1399-1,35,NA,NA,1,NA,540498,4240201
HALOW02,29-May-12,QUKE,1399,Alive,1399-1,35,36.8,NA,1,NA,540498,4240201
SCHIEK01,30-Apr-10,QUAG,1405,Alive,1405-1,55.5,NA,NA,1,NA,535288,4242087
SCHIEK01,18-May-12,QUAG,1405,Alive,1405-1,55.5,60.2,NA,1,NA,535288,4242087
SCHIEK01,6-May-11,QUAG,1405,Alive,1405-2,55.5,NA,NA,1,NA,535288,4242087
SCHIEK01,30-Apr-10,QUAG,1405,Alive,1405-2,55.5,NA,NA,1,NA,535288,4242087
SCHIEK01,18-May-12,QUAG,1405,Alive,1405-2,55.5,60.2,NA,1,NA,535288,4242087
SCHIEK01,6-May-11,QUAG,1405,Alive,1405-3,55.5,NA,NA,1,NA,535288,4242087
SCHIEK01,18-May-12,QUAG,1405,Alive,1405-3,55.5,60.2,NA,1,NA,535288,4242087
SCHIEK01,30-Apr-10,QUAG,1405,Alive,1405-3,55.5,NA,NA,1,NA,535288,4242087
SCHIEK01,6-May-11,QUAG,1406,Alive,1406-1,41.5,NA,NA,1,NA,535288,4242087
SCHIEK01,18-May-12,QUAG,1406,Alive,1406-1,41.5,41.6,NA,1,NA,535288,4242087
SCHIEK01,30-Apr-10,QUAG,1406,Alive,1406-1,41.5,NA,NA,1,NA,535288,4242087
SCHIEK01,6-May-11,QUAG,1407,Alive,1407-1,60,NA,NA,1,NA,535288,4242087
SCHIEK01,18-May-12,QUAG,1407,Alive,1407-1,60,64.7,NA,1,NA,535288,4242087
SCHIEK01,30-Apr-10,QUAG,1407,Alive,1407-1,60,NA,NA,1,NA,535288,4242087
SCHIEK01,6-May-11,QUAG,1407,Alive,1407-2,60,NA,NA,1,NA,535288,4242087
SCHIEK01,30-Apr-10,QUAG,1407,Alive,1407-2,60,NA,NA,1,NA,535288,4242087
SCHIEK01,6-May-11,QUAG,1407,Alive,1407-3,60,NA,NA,1,NA,535288,4242087
SCHIEK01,30-Apr-10,QUAG,1407,Alive,1407-3,60,NA,NA,1,NA,535288,4242087
SCHIEK01,18-May-12,QUAG,1407,Alive,1407-4,60,64.7,NA,1,NA,535288,4242087
SCHIEK01,6-May-11,QUAG,1407,Alive,1407-4,60,NA,NA,1,NA,535288,4242087
SCHIEK01,30-Apr-10,QUAG,1407,Alive,1407-4,60,NA,NA,1,NA,535288,4242087
SCHIEK01,18-May-12,QUAG,1407,Alive,1407-5,60,64.7,NA,1,NA,535288,4242087
SCHIEK01,6-May-11,QUAG,1407,Alive,1407-5,60,NA,NA,1,NA,535288,4242087
